sampleid,lakeid,lakename,county,date,round,tkn.ppm,tn.ppm,nitrate.ppm,ammonium.ppb

2001134001,3,(003) Arrowhead Lake (Sac) (Sac ) ,Sac,5/14/01,1,NA,1.20449996,0.36480999,NA

2001134002,11,(011) Black Hawk Lake (Sac ) ,Sac,5/14/01,1,NA,4.813199997,2.595999956,NA

2001134003,15,(015) Browns Lake (Woodbury ) ,Woodbury,5/14/01,1,NA,1.793799996,0.22665,NA

2001134004,24,(024) Crawford Creek Impoundment (Ida ) ,Ida,5/14/01,1,NA,1.430600047,0.252189994,NA

2001134005,73,(073) Little Sioux Park Lake (Woodbury ) ,Woodbury,5/14/01,1,NA,0.644420028,0.160840005,NA

2001134006,86,(086) Moorehead Park Pond (Ida ) ,Ida,5/14/01,1,NA,1.045799971,0.093650997,NA

2001135001,30,(030) Dog Creek Lake (O'Brien ) ,O'Brien,5/15/01,1,NA,6.781199932,5.427299976,NA

2001135002,68,(068) Lake Pahoja (Lyon ) ,Lyon,5/15/01,1,NA,7.256899834,5.935500145,NA

2001135003,84,(084) Mill Creek Lake (O'Brien ) ,O'Brien,5/15/01,1,NA,3.189599991,2.418800116,NA

2001135004,105,(105) Silver Lake (Dickinson) (Dickinson ) ,Dickinson,5/15/01,1,NA,6.597300053,5.64659977,NA

2001136001,10,(010) Big Spirit Lake (Dickinson ) ,Dickinson,5/16/01,1,NA,1.256899953,0.446720004,NA

2001136002,19,(019) Center Lake (Dickinson ) ,Dickinson,5/16/01,1,NA,1.871700048,0.34830001,NA

2001136003,33,(033) East Okoboji Lake (Dickinson ) ,Dickinson,5/16/01,1,NA,1.465899944,0.64489001,NA

2001136004,48,(048) Ingham Lake (Emmet ) ,Emmet,5/16/01,1,NA,2.260499954,0.309749991,NA

2001136005,64,(064) Lake Minnewashta (Dickinson ) ,Dickinson,5/16/01,1,NA,1.259799957,0.432029992,NA

2001136006,74,(074) Little Spirit Lake (Dickinson ) ,Dickinson,5/16/01,1,NA,6.857299805,5.772500038,NA

2001136007,77,(077) Lost Island Lake (Palo Alto ) ,Palo Alto,5/16/01,1,NA,2.349699974,0.521950006,NA

2001136008,78,(078) Lower Gar Lake (Dickinson ) ,Dickinson,5/16/01,1,NA,1.33010006,0.484180003,NA

2001136009,117,(117) Trumbull Lake (Clay ) ,Clay,5/16/01,1,NA,6.783699989,5.933000088,NA

2001136010,118,(118) Tuttle Lake (Emmet ) ,Emmet,5/16/01,1,NA,8.252400398,6.385499954,NA

2001136011,121,(121) Upper Gar Lake (Dickinson ) ,Dickinson,5/16/01,1,NA,1.307800055,0.504769981,NA

2001136012,125,(125) West Okoboji Lake (Dickinson ) ,Dickinson,5/16/01,1,NA,0.56388998,0.117940001,NA

2001137001,6,(006) Badger Lake (Webster ) ,Webster,5/17/01,1,NA,16.01000023,18.90399933,NA

2001137002,36,(036) Five Island Lake (Palo Alto ) ,Palo Alto,5/17/01,1,NA,2.42750001,1.370000005,NA

2001137003,69,(069) Lake Smith (Kossuth ) ,Kossuth,5/17/01,1,NA,12.11699963,11.19299984,NA

2001137004,90,(090) North Twin Lake (Calhoun ) ,Calhoun,5/17/01,1,NA,3.584300041,1.149700046,NA

2001137005,108,(108) Silver Lake (Palo Alto) (Palo Alto ) ,Palo Alto,5/17/01,1,NA,6.336200237,4.845099926,NA

2001137006,113,(113) Storm Lake (incl Little Storm Lake) (Buena Vista ) ,Buena Vista,5/17/01,1,NA,1.861999989,1.240100026,NA

2001141001,7,(007) Beaver Lake (Dallas ) ,Dallas,5/21/01,1,NA,2.451499939,1.730100036,NA

