"","lagoslakeid","gnis_name","nhd_lat","nhd_long","lake_area_ha","lagosname1","meandepth","meandepthsource","maxdepth","maxdepthsource"
"26",4572,NA,42.476514,-92.311172,19.59612104,"MITCHELL LAKE",7.19,"IA_CHEMISTRY",18.29,"IA_CHEMISTRY"
"43",4709,NA,42.534811,-92.39764,32.42094368,"GEORGE WYTH LAKE",2.79,"IA_CHEMISTRY",4.57,"IA_CHEMISTRY"
"161",10867,NA,42.594726,-92.487235,1.631700265,"",NA,"",NA,""
"208",11864,NA,42.576474,-92.494856,1.258507488,"",NA,"",NA,""
"241",12899,NA,42.454657,-92.255841,1.546253952,"",NA,"",NA,""
"286",13922,NA,42.551497,-92.448333,10.22097681,"",NA,"",NA,""
"305",14957,NA,42.573212,-92.485742,1.470512018,"",NA,"",NA,""
"313",14968,NA,42.298344,-92.120762,2.585043561,"",NA,"",NA,""
"375",16974,NA,42.440043,-92.275209,2.113020712,"",NA,"",NA,""
"408",18027,NA,42.387896,-92.220761,2.450534206,"",NA,"",NA,""
"414",18038,NA,42.35745,-92.216079,2.08667354,"",NA,"",NA,""
"662",25533,NA,42.595459,-92.122445,1.843625548,"",NA,"",NA,""
"762",28566,NA,42.301951,-92.121222,4.19272714,"",NA,"",NA,""
"799",29636,NA,42.468024,-92.313898,1.695729338,"",NA,"",NA,""
"914",32765,NA,42.35632,-92.301672,3.145973631,"",NA,"",NA,""
"966",33792,NA,42.359447,-92.226197,7.399332241,"",NA,"",NA,""
"1262",43338,NA,42.490441,-92.373125,2.955387087,"",NA,"",NA,""
"1299",44365,NA,42.504409,-92.356393,2.123976699,"",NA,"",NA,""
"1300",44366,NA,42.339462,-92.206068,1.425148691,"",NA,"",NA,""
"1381",46412,NA,42.318127,-92.152164,1.800968888,"",NA,"",NA,""
"1412",47415,NA,42.301916,-92.111043,1.288354473,"",NA,"",NA,""
"1420",47425,NA,42.631877,-92.544732,1.474106242,"",NA,"",NA,""
"1456",48491,NA,42.571176,-92.104732,2.094843271,"",NA,"",NA,""
"1460",48496,NA,42.538492,-92.416891,1.262761147,"",NA,"",NA,""
"1565",51608,NA,42.59039,-92.535079,2.398095682,"",NA,"",NA,""
"1688",54787,NA,42.620321,-92.481105,1.365368094,"",NA,"",NA,""
"1689",54788,NA,42.527307,-92.411546,2.468094086,"",NA,"",NA,""
"1746",56776,NA,42.306734,-92.077019,1.577910612,"",NA,"",NA,""
"1781",57831,NA,42.440356,-92.251603,4.156446231,"",NA,"",NA,""
"1812",58845,NA,42.572063,-92.495914,1.80955623,"",NA,"",NA,""
"1950",62968,NA,42.474275,-92.306611,1.086021687,"",NA,"",NA,""
"1980",64030,NA,42.355704,-92.22531,2.122581217,"",NA,"",NA,""
"2085",67137,NA,42.636122,-92.526629,1.911418043,"",NA,"",NA,""
"2120",68149,NA,42.331007,-92.168174,1.358837795,"",NA,"",NA,""
"2128",68157,NA,42.385236,-92.233047,1.033850115,"",NA,"",NA,""
"2193",70212,NA,42.55077,-92.35474,1.407789914,"",NA,"",NA,""
"2216",71180,NA,42.59031,-92.530969,9.374913222,"",NA,"",NA,""
"2218",71182,NA,42.419408,-92.454318,2.310391512,"",NA,"",NA,""
"2223",71188,NA,42.398015,-92.305179,1.248411473,"",NA,"",NA,""
"2332",74319,NA,42.524925,-92.3561,1.211231342,"",NA,"",NA,""
"2350",75346,NA,42.346677,-92.210809,14.25913103,"",NA,"",NA,""
"2355",75352,NA,42.453821,-92.252796,1.299594265,"",NA,"",NA,""
"2360",75358,NA,42.396639,-92.496815,1.08899597,"",NA,"",NA,""
"2392",76387,NA,42.524989,-92.404904,3.745681529,"",NA,"",NA,""
"2537",80629,NA,42.310802,-92.13062,1.629331225,"",NA,"",NA,""
"2603",82693,NA,42.615469,-92.140188,1.959246228,"",NA,"",NA,""
"2619",82713,NA,42.523311,-92.382767,56.32896807,"",NA,"",NA,""
"2721",85859,NA,42.357575,-92.19476,2.0865077,"",NA,"",NA,""
"2723",85862,NA,42.397506,-92.245126,5.972382846,"",NA,"",NA,""
"2847",90072,NA,42.519829,-92.395487,1.650982478,"",NA,"",NA,""
"2855",90083,NA,42.513532,-92.387507,2.25822627,"",NA,"",NA,""
"2886",91068,"Fisher Lake",42.53505,-92.412138,11.5967679,"",NA,"",NA,""
"3064",96197,NA,42.597282,-92.544144,2.259925965,"",NA,"",NA,""
"3068",96202,NA,42.42499,-92.257203,7.026556583,"",NA,"",NA,""
"3070",96204,NA,42.439098,-92.270499,4.927272531,"",NA,"",NA,""
"3131",98258,NA,42.528227,-92.410396,1.320081361,"",NA,"",NA,""
"3202",100276,NA,42.60494,-92.492669,1.179838812,"",NA,"",NA,""
"3211",100288,NA,42.549276,-92.453476,6.039920629,"",NA,"",NA,""
"3241",101300,NA,42.435367,-92.269001,1.411879702,"",NA,"",NA,""
"3272",102319,NA,42.408773,-92.254678,5.838409061,"",NA,"",NA,""
"3308",103325,NA,42.567398,-92.43254,2.058678383,"",NA,"",NA,""
"3350",104371,NA,42.529563,-92.40955,2.201108115,"",NA,"",NA,""
"3475",108452,NA,42.529944,-92.388855,1.616388562,"",NA,"",NA,""
"3551",110531,NA,42.568055,-92.478466,1.141989771,"",NA,"",NA,""
"3564",110546,"Railroad Lake",42.580624,-92.503205,5.481475634,"",NA,"",NA,""
"3836",117792,NA,42.548278,-92.445145,3.087648402,"",NA,"",NA,""
"3854",118846,NA,42.505192,-92.360753,1.295041303,"",NA,"",NA,""
"3860",118855,NA,42.327966,-92.195744,1.644672985,"",NA,"",NA,""
"3887",119914,NA,42.307673,-92.075363,1.887443749,"",NA,"",NA,""
"3895",119922,NA,42.544984,-92.482687,1.756865747,"",NA,"",NA,""
"3897",119926,NA,42.331626,-92.139281,2.932270715,"",NA,"",NA,""
"3919",120978,NA,42.591303,-92.537471,3.94030953,"",NA,"",NA,""
"3925",120986,NA,42.363474,-92.232217,1.624187624,"",NA,"",NA,""
"4167",127258,NA,42.550349,-92.462561,1.052463081,"",NA,"",NA,""
"4232",129327,NA,42.562933,-92.485742,1.100315058,"",NA,"",NA,""
"4254",130364,NA,42.411947,-92.226735,2.727790988,"",NA,"",NA,""
"4298",131469,NA,42.579806,-92.511457,3.299394028,"",NA,"",NA,""
"4301",131472,NA,42.423654,-92.265318,1.969367947,"",NA,"",NA,""
"4303",131474,NA,42.595128,-92.49884,2.061688189,"",NA,"",NA,""
"4336",132478,NA,42.372564,-92.232633,3.231458379,"",NA,"",NA,""
"4399",134531,NA,42.530704,-92.382104,39.43658823,"",NA,"",NA,""
"4416",134552,NA,42.592241,-92.488557,1.80526937,"",NA,"",NA,""
"4493",136549,NA,42.632463,-92.536131,2.573957735,"",NA,"",NA,""
"4561",138652,NA,42.601187,-92.485205,1.990866955,"",NA,"",NA,""
