lakename,lagoslakeid
(001) Arbor Lake (Poweshiek ) ,
(002) Arrowhead Pond (Pottawattamie) (Pottawattamie ) ,4967
(003) Arrowhead Lake (Sac) (Sac ) ,4935
(004) Avenue of the Saints Lake (Bremer ) ,
(005) Badger Creek Lake (Madison ) ,4821
(006) Badger Lake (Webster ) ,4285
(007) Beaver Lake (Dallas ) ,
(008) Beeds Lake (Franklin ) ,4393
(009) Big Creek Lake (Polk ) ,4494
(010) Big Spirit Lake (Dickinson ) ,5040
(011) Black Hawk Lake (Sac ) ,4566
(012) Blue Lake (Monona ) ,73448
(013) Bob White Lake (Wayne ) ,4886
(014) Briggs Woods Lake (Hamilton ) ,4607
(015) Browns Lake (Woodbury ) ,
(016) Brushy Creek Lake (Webster ) ,5032
(017) Carter Lake (Pottawattamie ) ,4863
(018) Casey Lake (Hickory Hills Lake) (Tama ) ,4701
(019) Center Lake (Dickinson ) ,4882
(020) Central Park Lake (Jones ) ,5118
(021) Clear Lake (Cerro Gordo ) ,4637
(022) Cold Springs Lake (Cass ) ,4542
(023) Coralville Reservoir (Johnson ) ,4819
(024) Crawford Creek Impoundment (Ida ) ,4884
(025) Crystal Lake (Hancock ) ,5183
(026) Dale Maffitt Reservoir (Madison ) ,4396
(028) DeSoto Bend Lake (Harrison ) ,
(029) Diamond Lake (Poweshiek ) ,5383
(030) Dog Creek Lake (O'Brien ) ,5155
(031) Don Williams Lake (Boone ) ,4955
(032) East Lake (Osceola) (Clarke ) ,4440
(033) East Okoboji Lake (Dickinson ) ,
(034) Easter Lake (Polk ) ,4482
(035) Eldred Sherwood Lake (Hancock ) ,4280
(036) Five Island Lake (Palo Alto ) ,5329
(037) Fogle Lake (Ringgold ) ,
(038) George Wyth Lake (Black Hawk ) ,4709
(039) Green Belt Lake (Black Hawk ) ,
(040) Green Castle Lake (Marshall ) ,4691
(041) Green Valley Lake (Union ) ,4890
(042) Greenfield Lake (Adair ) ,5496
(043) Hannen Lake (Benton ) ,5233
(044) Hawthorn Lake (Barnes City Lake) (Mahaska ) ,
(045) Hickory Grove Lake (Story ) ,4648
(046) Hooper Area Pond (Warren ) ,5541
(047) Indian Lake (Van Buren ) ,4624
(048) Ingham Lake (Emmet ) ,5027
(049) Kent Park Lake (Johnson ) ,4797
(050) Lacey Keosauqua Park Lake (Van Buren ) ,5314
(051) Lake Ahquabi (Warren ) ,4351
(052) Lake Anita (Cass ) ,4606
(053) Lake Cornelia (Wright ) ,4649
(054) Lake Darling (Washington ) ,4936
(055) Lake Geode (Henry ) ,5274
(056) Lake Hendricks (Howard ) ,4395
(057) Lake Icaria (Adams ) ,5102
(058) Lake Iowa (Iowa ) ,4899
(059) Lake Keomah (Mahaska ) ,5175
(060) Lake Manawa (Pottawattamie ) ,5550
(061) Lake Macbride (Johnson ) ,4717
(062) Lake Meyer (Winneshiek ) ,5414
(063) Lake Miami (Monroe ) ,4944
(064) Lake Minnewashta (Dickinson ) ,
(065) Lake of the Hills (Scott ) ,5575
(066) Lake of Three Fires (Taylor ) ,4799
(067) Lake Orient (Adair ) ,5336
(068) Lake Pahoja (Lyon ) ,
(069) Lake Smith (Kossuth ) ,4667
(070) Lake Sugema (Van Buren ) ,
(071) Lake Wapello (Davis ) ,4632
(072) Little River Watershed Lake (Decatur ) ,4652
(073) Little Sioux Park Lake (Woodbury ) ,4292
(074) Little Spirit Lake (Dickinson ) ,
(075) Little Wall Lake (Hamilton ) ,4448
(076) Littlefield Lake (Audubon ) ,4473
(077) Lost Island Lake (Palo Alto ) ,4621
(078) Lower Gar Lake (Dickinson ) ,4686
(079) Lower Pine Lake (Hardin ) ,4389
(080) Manteno Park Pond (Shelby ) ,4798
(081) Mariposa Lake (Jasper ) ,5374
(082) Meadow Lake (Adair ) ,4933
(083) Meyers Lake (Black Hawk ) ,
(084) Mill Creek Lake (O'Brien ) ,5256
(085) Mitchell Lake (Black Hawk ) ,4572
(086) Moorehead Park Pond (Ida ) ,
(087) Mormon Trail Lake (Adair ) ,4867
(088) Nelson Park Lake (Crawford ) ,4771
(089) Nine Eagles Lake (Decatur ) ,5252
(090) North Twin Lake (Calhoun ) ,4594
(091) Oldham Lake (Monona ) ,5290
(092) Otter Creek Lake (Tama ) ,4322
(093) Ottumwa Central Park Ponds (Wapello ) ,5487
(094) Pierce Creek Lake (Page ) ,4942
(095) Pleasant Creek Lake (Linn ) ,4828
(096) Poll Miller Park Lake (Lee ) ,4478
(097) Prairie Rose Lake (Shelby ) ,5167
(098) Rathbun Reservoir (Appanoose ) ,5171
(099) Red Haw Lake (Lucas ) ,4962
(100) Red Rock Reservoir (Marion ) ,5162
(101) Roberts Creek Lake (Marion ) ,5162
(102) Rock Creek Lake (Jasper ) ,4314
(103) Rodgers Park Lake (Benton ) ,
(104) Saylorville Reservoir (Polk ) ,4363
(105) Silver Lake (Dickinson) (Dickinson ) ,4870
(106) Silver Lake (Worth) (Worth ) ,4532
(107) Silver Lake (Delaware) (Delaware ) ,4420
(108) Silver Lake (Palo Alto) (Palo Alto ) ,5143
(109) Slip Bluff Lake (Decatur ) ,5458
(110) South Prairie Lake (Black Hawk ) ,
(111) Spring Lake (Greene ) ,4481
(112) Springbrook Lake (Guthrie ) ,4816
(113) Storm Lake (incl Little Storm Lake) (Buena Vista ) ,5421
(114) Swan Lake (Carroll ) ,5241
(115) Thayer Lake (Union ) ,5396
(116) Three Mile Lake (Union ) ,
(117) Trumbull Lake (Clay ) ,4631
(118) Tuttle Lake (Emmet ) ,
(119) Twelve Mile Creek Lake (Union ) ,
(120) Union Grove Lake (Tama ) ,4985
(121) Upper Gar Lake (Dickinson ) ,
(122) Upper Pine Lake (Hardin ) ,4510
(123) Viking Lake (Montgomery ) ,4774
(124) Volga Lake (Fayette ) ,4401
(125) West Okoboji Lake (Dickinson ) ,
(126) West Lake (Osceola) (Clarke ) ,4653
(127) White Oak Lake (Mahaska ) ,
(128) Williamson Pond (Lucas ) ,4312
(129) Willow Lake (Harrison ) ,5168
(130) Wilson Park Lake (Taylor ) ,5246
(131) Windmill Lake (Taylor ) ,5500
(132) Yellow Smoke Park Lake (Crawford ) ,
(205) Belva Deer Lake (Keokuk ) ,
(245) Nodaway (Adair) (Adair ) ,
(257) Snyder Bend (Woodbury ) ,
(259) Summit (Union ) ,
(269) Lizard (Pocahontas ) ,
(300) Big Hollow Lake (Des Moines ),
(301) Rudd Lake (Floyd ),
(304) Lost Grove Lake (Scott ) ,
