"","lagoslakeid","nh4","no2no3","tn","nh4_detectionlimit","no2no3_detectionlimit","tn_detectionlimit","sampleyear","samplemonth","tkn","tkn_detectionlimit","hu8_baseflow","hu8_no3depo","hu8_totalndepo","hu8_runoff","urban","rowcrop","pasture","forest","wetland","openh20","lake_area","maxdepth","lakeconnection","la_wa_ratio"
"1",49,5,5,243,25.8,25.8,20,2007,7,NA,NA,46.1149,20.7714,7.1522,29.2359,4.98,0,0,86.36,6.62,2.05,24.12706459,2.7,"Headwater",0.182760946171194
"2",52,104,36,NA,15,6,NA,2007,9,649,100,35.3516,16.4577,5.6709,20.0361,50.72,1.7,0.92,38.59,6.08,0.12,30.54326557,3.6576,"DR_Stream",0.0207252223274772
"3",52,207,339,NA,15,6,NA,2007,7,1130,100,35.3516,16.4577,5.6709,20.0361,50.72,1.7,0.92,38.59,6.08,0.12,30.54326557,3.6576,"DR_Stream",0.0207252223274772
"4",53,24,6,NA,15,6,NA,2005,8,389,100,46.118,20.1412,6.891,23.8545,15.06,0.38,0,59.25,22.02,2.51,100.2709565,24.384,"DR_LakeStream",0.162461526878574
"5",54,44,18,NA,15,6,NA,2007,9,467,100,48.819,17.7695,6.115,21.8532,8,0.39,3.3,84.14,1.4,0.28,47.17454159,11.8872,"DR_Stream",0.0396786418072223
"6",55,25,6,NA,15,6,NA,2005,8,634,100,47.8338,19.8438,6.7337,27.4685,31.56,0,0,62.5,0,5.95,7.371470721,4.8768,"Headwater",0.48881912191025
"7",56,27.5,157,NA,15,6,NA,2009,9,499,100,40.1818,16.8293,5.8002,21.4975,50.52,5.71,2.52,31.86,6.13,0.18,89.57296647,6.096,"DR_LakeStream",0.0210630539141349
"8",57,59,19,NA,15,6,NA,2005,9,635,100,50.6929,14.9064,5.1658,21.365,61.55,1.36,0.14,27.05,5.05,0.7,5.472437537,3.6576,"DR_Stream",0.00290740867619786
"9",57,204,177,NA,15,6,NA,2005,7,938,100,50.6929,14.9064,5.1658,21.365,61.55,1.36,0.14,27.05,5.05,0.7,5.472437537,3.6576,"DR_Stream",0.00290740867619786
"10",58,58,11,NA,15,6,NA,2007,9,1340,100,66.2346,12.5846,4.2197,19.7497,NA,NA,NA,NA,NA,NA,3.524537028,3.048,"DR_Stream",NA
"11",58,63,41,NA,15,6,NA,2007,7,2590,100,66.2346,12.5846,4.2197,19.7497,NA,NA,NA,NA,NA,NA,3.524537028,3.048,"DR_Stream",NA
"12",59,200,1400,NA,NA,NA,NA,1995,9,940,NA,57.4458,11.4882,6.0092,5.6185,13.53,56.67,11.53,8.49,3.29,0.44,27.21337469,NA,"DR_LakeStream",0.000379565899901067
"13",63,13,5,561,25.8,25.8,20,2007,8,NA,NA,53.4963,8.1166,3.895,10.858,2.31,0,0,71.41,22.6,2.9,75.68277218,5.5,"DR_LakeStream",0.223187731683651
"14",64,100,10,NA,NA,NA,NA,1980,7,1220,NA,51.8968,11.6005,6.1593,6.0225,50.19,27.72,3.83,0.44,11.18,1.22,255.5632799,9.4,"DR_Stream",0.379765130891188
"15",65,23,5,790,25.8,25.8,20,2007,7,NA,NA,47.4447,14.0467,5.949,12.094,8.54,43.42,0,16.01,15.66,6.05,26.51796576,12.2,"Isolated",1.02466088912667
"16",65,70,111,NA,NA,NA,NA,1998,7,619,NA,47.4447,14.0467,5.949,12.094,8.54,43.42,0,16.01,15.66,6.05,26.51796576,12.2,"Isolated",1.02466088912667
"17",65,102,3832,NA,NA,NA,NA,1989,8,1560,NA,47.4447,14.0467,5.949,12.094,8.54,43.42,0,16.01,15.66,6.05,26.51796576,12.2,"Isolated",1.02466088912667
"18",65,40,30,NA,NA,NA,NA,1994,8,516,NA,47.4447,14.0467,5.949,12.094,8.54,43.42,0,16.01,15.66,6.05,26.51796576,12.2,"Isolated",1.02466088912667
"19",66,18,13,NA,NA,NA,NA,2001,8,1143,NA,50.5501,13.888,5.8461,12.0704,NA,NA,NA,NA,NA,NA,1.97575548,2.1,"Isolated",NA
"20",69,62,13,NA,NA,NA,NA,2001,7,291,NA,26.6501,16.7453,6.9016,14.2795,2.04,21.66,0,61.49,1.39,1.31,7.516912653,9.4,"DR_Stream",0.0609059067778429
"21",69,21,22,NA,NA,NA,NA,1997,7,230,NA,26.6501,16.7453,6.9016,14.2795,2.04,21.66,0,61.49,1.39,1.31,7.516912653,9.4,"DR_Stream",0.0609059067778429
"22",72,70,50,NA,NA,NA,NA,1995,9,4710,NA,50.4436,9.8422,5.3729,4.8574,5.92,55,30.74,4.11,1.43,0.53,31.20761134,NA,"DR_LakeStream",0.0247479974631464
"23",72,280,100,NA,NA,NA,NA,1995,7,2890,NA,50.4436,9.8422,5.3729,4.8574,5.92,55,30.74,4.11,1.43,0.53,31.20761134,NA,"DR_LakeStream",0.0247479974631464
"24",73,10,22,345,NA,NA,NA,1991,8,NA,NA,55.8713,7.2167,3.6168,8.0677,NA,NA,NA,NA,NA,NA,18522.55085,46,"DR_LakeStream",0.13418037122671
"25",75,100,50,NA,NA,NA,NA,1995,7,2940,NA,50.4436,9.8422,5.3729,4.8574,12.07,39.85,32.14,8.69,2.85,0.07,55.96877128,4,"DR_LakeStream",0.0112325357493654
"26",75,200,180,NA,NA,NA,NA,1995,9,2820,NA,50.4436,9.8422,5.3729,4.8574,12.07,39.85,32.14,8.69,2.85,0.07,55.96877128,4,"DR_LakeStream",0.0112325357493654
"27",76,10,4,392,NA,NA,NA,1991,7,NA,NA,55.7659,7.999,3.9836,8.423,NA,NA,NA,NA,NA,NA,3.889687926,NA,"Isolated",NA
"28",81,12,5,246,25.8,25.8,20,2007,8,NA,NA,48.9907,12.9903,4.5675,18.33,1.95,0.28,1.56,90.27,3.47,0.86,501.079046,5.9,"DR_LakeStream",0.0487812901460655
