"","lagoslakeid","nhdid","gnis_name","nhd_lat","nhd_long","lake_area_ha","lake_perim_meters","nhd_fcode","nhd_ftype","iws_zoneid","hu4_zoneid","hu6_zoneid","hu8_zoneid","hu12_zoneid","edu_zoneid","county_zoneid","state_zoneid"
"4234",4280,"155844663","Eldred Sherwood Park Lake",42.940983,-93.562486,8.586973508,2746.8917,39004,390,"IWS_31926","HU4_57","HU6_78","HU8_400","HU12_9763","EDU_23","County_248","State_13"
"4239",4285,"137027971","Badger Lake",42.586726,-94.188011,17.26610873,4145.8159,39004,390,"IWS_32272","HU4_56","HU6_79","HU8_403","HU12_3119","EDU_74","County_204","State_13"
"4246",4292,"132548442",NA,42.447658,-95.801247,3.968957614,1603.2184,39004,390,NA,"HU4_61","HU6_87","HU8_419","HU12_2466","EDU_4","County_207","State_13"
"4266",4312,"146615193",NA,41.093544,-93.214432,10.68451571,2323.1155,39004,390,"IWS_3378","HU4_56","HU6_79","HU8_406","HU12_3425","EDU_61","County_251","State_13"
"4268",4314,"152745615","Rock Creek Lake",41.75151,-92.847703,208.4454025,18840.6822,39004,390,"IWS_2919","HU4_57","HU6_82","HU8_395","HU12_2716","EDU_61","County_249","State_13"
"4276",4322,"155095915",NA,42.046834,-92.520211,24.77509559,4644.3928,39004,390,"IWS_2932","HU4_57","HU6_78","HU8_401","HU12_3040","EDU_23","County_296","State_13"
"4304",4351,"133534596","Lake Ahquabi",41.288804,-93.591452,45.44221328,7254.9772,39004,390,"IWS_3435","HU4_56","HU6_79","HU8_405","HU12_3276","EDU_61","County_300","State_13"
"4316",4363,"137029050","Saylorville Lake",41.76569,-93.744413,2196.485494,83271.8413,39009,390,"IWS_51047","HU4_56","HU6_79","HU8_403","HU12_3152","EDU_74","County_271","State_13"
"4342",4389,"155845285",NA,42.369068,-93.073109,25.03647432,3957.948,39004,390,"IWS_2931","HU4_57","HU6_78","HU8_400","HU12_3008","EDU_23","County_275","State_13"
"4346",4393,"152753949","Beeds Lake",42.770226,-93.243831,39.04222908,5018.1351,39004,390,"IWS_31866","HU4_57","HU6_78","HU8_397","HU12_9651","EDU_23","County_225","State_13"
"4348",4395,"130971282","Lake Hendricks",43.373209,-92.545391,18.51379701,3395.3623,39004,390,"IWS_31963","HU4_57","HU6_82","HU8_386","HU12_9871","EDU_84","County_278","State_13"
"4349",4396,"137047422","Dale Maffit Reservoir",41.512791,-93.793349,75.64276999,9370.6469,39004,390,"IWS_3388","HU4_56","HU6_79","HU8_417","HU12_3212","EDU_74","County_217","State_13"
"4354",4401,"155572664","Volga Lake",42.899939,-91.77519,52.69954815,5975.7704,39004,390,"IWS_30471","HU4_59","HU6_81","HU8_384","HU12_9847","EDU_65","County_224","State_13"
"4373",4420,"155588572",NA,42.425455,-91.324557,16.15219699,2359.3108,39004,390,"IWS_30486","HU4_59","HU6_81","HU8_385","HU12_3300","EDU_84","County_246","State_13"
"4393",4440,"133551348","East Lake",41.033908,-93.742989,5.367587507,1129.0322,39004,390,"IWS_3441","HU4_56","HU6_79","HU8_405","HU12_3291","EDU_61","County_213","State_13"
"4401",4448,"133402968","Little Wall Lake",42.269235,-93.63682,99.22524375,4643.0604,39004,390,"IWS_2934","HU4_57","HU6_82","HU8_394","HU12_3366","EDU_61","County_274","State_13"
"4426",4473,"153930592",NA,41.558492,-94.783761,21.01142709,3050.9889,39004,390,"IWS_7033","HU4_63","HU6_86","HU8_423","HU12_2839","EDU_54","County_242","State_13"
"4431",4478,"152594274","Pollimer Park Lake",40.713259,-91.437856,6.943469437,2271.6757,39004,390,"IWS_3096","HU4_57","HU6_82","HU8_410","HU12_3351","EDU_61","County_250","State_13"
"4434",4481,"137045577","Spring Lake",42.063118,-94.289094,19.92392049,4469.3914,39004,390,"IWS_3405","HU4_56","HU6_79","HU8_417","HU12_3194","EDU_74","County_227","State_13"
"4435",4482,"133527861","Lake Easter",41.541032,-93.563352,71.71903487,12074.9933,39004,390,"IWS_3356","HU4_56","HU6_79","HU8_405","HU12_3418","EDU_61","County_271","State_13"
"4447",4494,"137028774","Big Creek Lake",41.81434,-93.748358,346.2542094,36283.4947,39004,390,"IWS_3331","HU4_56","HU6_79","HU8_403","HU12_3140","EDU_74","County_271","State_13"
"4463",4510,"155845265","Pine Lake",42.378335,-93.059667,36.07354847,5671.0013,39004,390,"IWS_51040","HU4_57","HU6_78","HU8_400","HU12_3008","EDU_23","County_275","State_13"
"4485",4532,"121631317","Silver Lake",43.482173,-93.417529,127.0320728,5601.7808,39004,390,"IWS_31915","HU4_57","HU6_78","HU8_353","HU12_9691","EDU_23","County_208","State_13"
"4495",4542,"153931192","Cold Springs",41.291903,-95.086722,6.18784619,1144.3556,39004,390,"IWS_7018","HU4_63","HU6_86","HU8_423","HU12_2611","EDU_54","County_237","State_13"
"4519",4566,"137044669","Black Hawk Lake",42.296683,-95.026069,369.6619835,22040.9058,39004,390,"IWS_3377","HU4_56","HU6_79","HU8_417","HU12_2638","EDU_74","County_292","State_13"
"4525",4572,"155067733",NA,42.476514,-92.311172,19.59612104,3133.3243,39004,390,"IWS_31953","HU4_57","HU6_78","HU8_398","HU12_2828","EDU_23","County_230","State_13"
"4547",4594,"137044132","North Twin Lake",42.485208,-94.63003,183.1390487,9217.4447,39004,390,"IWS_32329","HU4_56","HU6_79","HU8_417","HU12_3172","EDU_74","County_235","State_13"
"4559",4606,"153930921","Lake Anita",41.425771,-94.776201,62.16259002,7242.7357,39004,390,"IWS_7017","HU4_63","HU6_86","HU8_423","HU12_2842","EDU_54","County_237","State_13"
